"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CPED1",8.87759151898785e-07,3.2751012981722,0.491,0.103,0.0233285349935963
"SDC2",8.95979049916346e-07,-2.78965190882083,0.119,0.359,0.0235445374737017
"SLC4A7",9.48078241983097e-07,1.62123671691893,0.773,0.538,0.0249136000428318
"MTRNR2L12",1.00526162287456e-06,4.10898267579192,0.447,0.051,0.0264162649258978
"SH3BGRL3",1.04475300721471e-06,-0.895923773541279,0.932,0.974,0.0274540195235882
"C1QC",1.05545408562933e-06,0.945086642745381,0.847,0.513,0.0277352224621675
"H2AFV",1.07221951547943e-06,4.82739548433178,0.398,0,0.0281757844277685
"GPCPD1",1.08240114218481e-06,-1.49134867448894,0.738,0.897,0.0284433372143323
"PMP22",1.15008482520273e-06,-1.53904541652024,0.252,0.564,0.0302219290366773
"TGFBR1",1.16252518116714e-06,1.89582611169964,0.711,0.436,0.0305488367107101
"IGHG1",1.19230743502963e-06,-5.38235068683035,0.131,0.385,0.0313314547777087
"IGF2BP2",1.23358302777433e-06,-2.80338601985466,0.044,0.205,0.0324160948038539
"EPRS1",1.23379339938726e-06,-2.47252480019729,0.026,0.154,0.0324216229490983
"LTC4S",1.23941160960334e-06,3.27342957719617,0.456,0.051,0.0325692582771566
"H2AFZ",1.33385506656426e-06,3.57316408706579,0.444,0.051,0.0350510434391757
"ZNF618",1.34502775186952e-06,2.96795990504198,0.48,0.077,0.0353446392636273
"ARHGAP22",1.34518873150041e-06,2.26679327308998,0.575,0.205,0.0353488694863678
"CCL3",1.44009237408109e-06,2.41100913030192,0.782,0.564,0.0378427474061028
"H1-4",1.58642306809501e-06,-3.04154575704942,0.027,0.154,0.0416880253834006
"ABHD17C",1.68624574992261e-06,-3.2184235191335,0.013,0.103,0.0443111658164664
"IRAK3",1.72330429057412e-06,-1.15856075579196,0.449,0.795,0.0452849901477066
"IER2",1.75100399655013e-06,1.84521161449833,0.862,0.769,0.0460128830213443
"ZNG1A",1.76271308973929e-06,-3.30902606791441,0.013,0.103,0.0463205745721691
"ATOSA",1.76930435469924e-06,-3.32694797591167,0.019,0.128,0.0464937798327867
"CCL3L3",1.80574442979938e-06,-2.96719841558934,0.013,0.103,0.047451352126268
"DARS",1.87588550612267e-06,4.82881896253398,0.386,0,0.0492945193298916
"ANKH",1.89526747398557e-06,2.51169320443299,0.637,0.333,0.0498038386813927
"VASH1",1.97469146803938e-06,3.60508218197536,0.421,0.026,0.0518909423971389
"FAM102B",2.0088509696876e-06,5.08615100900359,0.385,0,0.0527885857814506
"MMP19",2.02640083592766e-06,-2.40375556797405,0.076,0.282,0.053249761166507
"ARHGAP6",2.07878347902488e-06,4.41188318003272,0.41,0.026,0.0546262722618158
"SGMS2",2.39191044176776e-06,-3.1039116380098,0.067,0.256,0.0628546225887732
"PGS1",2.47285217689673e-06,-1.87446911791614,0.134,0.385,0.0649816095044923
"CD36",2.4816589999319e-06,-1.42326318312824,0.198,0.513,0.0652130352002105
"SULF2",2.57873058500961e-06,-2.23419083499182,0.117,0.359,0.0677638823128827
"SVIL-AS1",2.61468370624004e-06,-3.23102355591314,0.013,0.103,0.0687086584325758
"MAPKAPK2",2.70101497696514e-06,-1.68544227316595,0.218,0.513,0.0709772715646899
"RIPOR2",2.84779903414354e-06,-2.48310955083845,0.091,0.308,0.074834463019224
