"pathway","pval","padj","log2err","ES","NES","size","cluster"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.169934640522876,1,0.282013350011725,0.418320155092261,1.14127005578591,52,"5"
"HALLMARK_KRAS_SIGNALING_UP",0.980392156862745,1,0.0913924325943768,0.236166254200012,0.60783415750875,34,"5"
"HALLMARK_MITOTIC_SPINDLE",0.825641025641026,1,0.0339723613634993,-0.376959534363848,-0.746946248616445,26,"5"
"HALLMARK_MTORC1_SIGNALING",0.989130434782609,1,0.096887770327544,0.223515166745721,0.600942255616294,41,"5"
"HALLMARK_MYC_TARGETS_V1",0.203846153846154,1,0.193813302725311,0.605386908575005,1.25184357877175,15,"5"
"HALLMARK_MYOGENESIS",0.955102040816327,1,0.0826646449123753,0.257646895822802,0.593225543305626,21,"5"
"HALLMARK_P53_PATHWAY",0.138037197799554,1,0.249246554383295,0.460996768922939,1.24702779642182,44,"5"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1,1,0.153158808683073,0.111141988840468,0.334130934309193,93,"5"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,1,0.0267456741432593,-0.165584415584416,-0.306745835080234,18,"5"
"HALLMARK_UV_RESPONSE_DN",1,1,0.0230116943194552,-0.203474205919989,-0.417080105132441,34,"5"
"HALLMARK_UV_RESPONSE_UP",0.743589743589744,1,0.038875878582578,-0.412273526677873,-0.813059425633175,25,"5"
"HALLMARK_XENOBIOTIC_METABOLISM",0.563380281690141,1,0.12384217120105,0.370166095365745,0.935896421178987,31,"5"
"HALLMARK_ADIPOGENESIS",0.814254859611231,0.880459770114942,0.0587185879555941,0.26879119094435,0.742552326256079,17,"6"
"HALLMARK_ALLOGRAFT_REJECTION",0.339047619047619,0.553182957393484,0.0982123351217438,-0.331603089527583,-1.08627975122181,36,"6"
"HALLMARK_ANDROGEN_RESPONSE",0.823655913978495,0.880459770114942,0.0579754757571486,0.245290418425682,0.767841155003796,28,"6"
"HALLMARK_APICAL_JUNCTION",0.188841201716738,0.421075692846971,0.147331213699377,0.472176804016496,1.28713372696805,16,"6"
"HALLMARK_APOPTOSIS",0.441287878787879,0.641451831750339,0.0828962134571565,-0.298116981930854,-1.01427402896133,43,"6"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.118081180811808,0.421075692846971,0.175204047558551,-0.44190167082452,-1.31980921673754,20,"6"
"HALLMARK_COAGULATION",0.00156465137262736,0.00970083851028966,0.45505986738723,-0.624407559538148,-1.89347051381241,24,"6"
"HALLMARK_COMPLEMENT",0.160984848484848,0.421075692846971,0.150169802128406,-0.361401232016929,-1.22958404212753,43,"6"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0012786541655598,0.00970083851028966,0.45505986738723,-0.567323461653267,-1.84996179412423,35,"6"
